strong	stress	10
strong	hands	4
strong	opposition	3
strong	woman	2
strong	stresses	2
strong	pressures	2
strong	point	2
strong	oil	2
strong	men	2
strong	feeling	2
strong	arm	2
strong	word	1
strong	wine	1
strong	winds	1
strong	wave	1
strong	voice	1
strong	upsurge	1
strong	transom	1
strong	tone	1
strong	temperance	1
strong	tea	1
strong	suspicions	1
strong	support	1
strong	subordinates	1
strong	signals	1
strong	sense	1
strong	recovery	1
strong	reactions	1
strong	push	1
strong	protest	1
strong	pressure	1
strong	potions	1
strong	possibility	1
strong	position	1
strong	performance	1
strong	opinions	1
strong	nose	1
strong	material	1
strong	look	1
strong	listener	1
strong	liking	1
strong	light	1
strong	jaws	1
strong	influence	1
strong	incentives	1
strong	home-blend	1
strong	hints	1
strong	hand	1
strong	fight	1
strong	features	1
strong	explanation	1
strong	executives	1
strong	encouragement	1
strong	emotions	1
strong	emotion	1
strong	dissents	1
strong	determination	1
strong	demand	1
strong	delights	1
strong	credit	1
strong	convictions	1
strong	conviction	1
strong	contrast	1
strong	compulsion	1
strong	case	1
strong	bulwark	1
strong	branches	1
strong	beliefs	1
strong	backing	1
strong	apple	1
strong	advocate	1
strong	adhesive	1
strong	activity	1
strong	Poland	1
strong	Christianity	1
strong	Af	1
strong	20th-Century	1
